github.com/AlDanial/cloc v 2.08  T=13.35 s (354.8 files/s, 95394.0 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                  blank        comment           code
./backend/.venv/lib/python3.11/site-packages/pycparser/c_ast.py                                                                                         333             69            939
./backend/.venv/lib/python3.11/site-packages/pydantic/mypy.py                                                                                           192            245            937
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/lambdas.py                                                                                  293            212            937
./backend/.venv/lib/python3.11/site-packages/passlib/tests/test_context.py                                                                              349            503            934
./backend/.venv/lib/python3.11/site-packages/redis/asyncio/connection.py                                                                                168            188            934
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/functions.py                                                                                588            680            931
./backend/.venv/lib/python3.11/site-packages/fastapi/dependencies/utils.py                                                                               94             47            916
./backend/.venv/lib/python3.11/site-packages/_pytest/raises.py                                                                                          228            374            915
./backend/.venv/lib/python3.11/site-packages/setuptools/_vendor/more_itertools/more.pyi                                                                  35              5            909
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_googlesql_builtins.py                                                                       8              9            901
./.venv/lib/python3.11/site-packages/pydantic/v1/main.py                                                                                                138             96            896
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/collections.py                                                                              360            377            890
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/rich/text.py                                                                                   193            279            889
./backend/.venv/lib/python3.11/site-packages/pydantic/v1/main.py                                                                                        136             94            883
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/operators.py                                                                                803            938            882
./backend/.venv/lib/python3.11/site-packages/pydantic/v1/types.py                                                                                       251             73            881
./backend/.venv/lib/python3.11/site-packages/yaml/scanner.py                                                                                            219            338            878
./backend/.venv/lib/python3.11/site-packages/_pytest/main.py                                                                                            165            166            872
./backend/.venv/lib/python3.11/site-packages/openai/_client.py                                                                                          309             61            864
./backend/.venv/lib/python3.11/site-packages/pip-26.0.1.dist-info/licenses/AUTHORS.txt                                                                    0              0            860
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/ncl.py                                                                                      17             18            859
./backend/.venv/lib/python3.11/site-packages/httpx/_models.py                                                                                           171            253            853
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/freefem.py                                                                                  19             21            853
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/engine/interfaces.py                                                                            979           1646            846
./backend/.venv/lib/python3.11/site-packages/pydantic/v1/schema.py                                                                                      141            182            840
./backend/.venv/lib/python3.11/site-packages/alembic/runtime/migration.py                                                                               224            284            838
./backend/.venv/lib/python3.11/site-packages/setuptools/tests/test_egg_info.py                                                                          125            343            838
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/modula2.py                                                                                 202            542            835
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/pool/base.py                                                                                    311            382            831
./backend/.venv/lib/python3.11/site-packages/tqdm/std.py                                                                                                187            507            830
./backend/.venv/lib/python3.11/site-packages/greenlet/greenlet_refs.hpp                                                                                 169            178            825
./backend/.venv/lib/python3.11/site-packages/asyncpg/protocol/coreproto.pyx                                                                             266            143            824
